Country,CountryFull,InsuranceID,MarketingConsent,MarketingConsentStartDate,LoyaltyConsent,LoyaltyConsentStartDate,ThirdPartyConsent,ThirdPartyConsentStartDate
CY,Cyprus (Greek),67386695,YES,2017-02-13,NO,1900-01-01,NO,1900-01-01
CZ,Czech Republic,91409513,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
IS,Iceland,59642070,NO,1900-01-01,NO,1900-01-01,YES,2016-06-26
DE,Germany,90429306,YES,2017-03-28,NO,1900-01-01,NO,1900-01-01
NZ,New Zealand,46738422,NO,1900-01-01,NO,1900-01-01,YES,2016-07-31
TN,Tunisia,30685797,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
HU,Hungary,18278205,NO,1900-01-01,YES,2017-02-11,NO,1900-01-01
CH,Switzerland,68580755,YES,2016-08-24,NO,1900-01-01,YES,2017-01-20
EE,Estonia,33694543,NO,1900-01-01,YES,2016-09-10,NO,1900-01-01
CY,Cyprus (Anglicized),42997292,YES,2016-02-05,YES,2017-07-05,YES,2017-07-28
EE,Estonia,97149559,NO,1900-01-01,YES,2017-01-24,NO,1900-01-01
ZA,South Africa,51261183,YES,2016-02-23,NO,1900-01-01,NO,1900-01-01
ES,Spain,86806967,YES,2017-02-17,YES,2016-08-29,YES,2016-04-08
ES,Spain,46207710,YES,2016-11-15,NO,1900-01-01,YES,2017-05-04
HU,Hungary,57155949,YES,2017-05-10,NO,1900-01-01,NO,1900-01-01
FR,France,66808611,NO,1900-01-01,YES,2016-02-24,YES,2016-05-24
IS,Iceland,77929951,YES,2017-04-17,YES,2016-02-16,NO,1900-01-01
FR,France,74855725,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
FR,France,62517316,YES,2017-06-19,YES,2017-04-04,YES,2017-04-09
BE,Belgium,63460137,NO,1900-01-01,YES,2017-07-04,YES,2017-07-31
CY,Cyprus (Anglicized),70753790,NO,1900-01-01,YES,2016-05-20,NO,1900-01-01
CY,Cyprus (Greek),50613857,NO,1900-01-01,YES,2017-07-28,NO,1900-01-01
TN,Tunisia,91655502,YES,2017-03-10,YES,2016-12-21,YES,2017-02-02
DK,Denmark,29657248,YES,2017-02-15,YES,2016-02-23,NO,1900-01-01
SE,Sweden,41499079,YES,2016-09-06,NO,1900-01-01,NO,1900-01-01
GL,Greenland,16389042,NO,1900-01-01,YES,2016-01-11,YES,2016-08-01
AU,Australia,93771395,YES,2016-04-12,YES,2017-05-20,NO,1900-01-01
DK,Denmark,46873490,YES,2016-04-16,NO,1900-01-01,NO,1900-01-01
IT,Italy,5137561,YES,2016-06-30,NO,1900-01-01,NO,1900-01-01
SE,Sweden,61111301,NO,1900-01-01,YES,2017-07-16,YES,2016-05-09
ZA,South Africa,99714496,YES,2017-05-10,NO,1900-01-01,YES,2017-01-02
EE,Estonia,48370462,NO,1900-01-01,YES,2016-07-22,NO,1900-01-01
GL,Greenland,67484760,NO,1900-01-01,NO,1900-01-01,YES,2016-12-26
UY,Uruguay,52655060,NO,1900-01-01,NO,1900-01-01,YES,2017-07-23
IT,Italy,46385306,YES,2016-09-08,NO,1900-01-01,YES,2017-04-20
NO,Norway,25658235,YES,2016-03-20,NO,1900-01-01,YES,2017-06-08
NO,Norway,24649458,NO,1900-01-01,YES,2016-01-28,NO,1900-01-01
PT,Portugal,62683491,YES,2016-04-28,YES,2016-10-03,YES,2017-07-24
BE,Belgium,32788936,YES,2017-03-07,YES,2016-04-18,NO,1900-01-01
HU,Hungary,3563922,YES,2017-06-26,YES,2017-04-07,NO,1900-01-01
FI,Finland,43701884,NO,1900-01-01,YES,2016-05-02,NO,1900-01-01
DK,Denmark,62509592,NO,1900-01-01,NO,1900-01-01,YES,2016-01-25
PT,Portugal,46367097,YES,2017-04-21,YES,2017-05-20,NO,1900-01-01
IT,Italy,18146005,NO,1900-01-01,YES,2017-06-09,NO,1900-01-01
EE,Estonia,9159798,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
EE,Estonia,20547667,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
PL,Poland,14578319,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CA,Canada,82802262,YES,2017-02-24,NO,1900-01-01,NO,1900-01-01
UY,Uruguay,5182369,YES,2016-02-01,NO,1900-01-01,YES,2016-08-19
SE,Sweden,44194531,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
PT,Portugal,13100004,NO,1900-01-01,YES,2017-01-19,NO,1900-01-01
AU,Australia,42868943,YES,2016-03-16,YES,2016-05-05,YES,2017-02-02
GL,Greenland,49666789,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CY,Cyprus (Anglicized),27168954,NO,1900-01-01,YES,2016-04-16,NO,1900-01-01
DE,Germany,47912944,YES,2016-11-29,NO,1900-01-01,YES,2016-09-06
US,United States,60919608,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
BE,Belgium,61994573,NO,1900-01-01,YES,2016-04-06,YES,2016-06-03
GB,United Kingdom,28797304,NO,1900-01-01,YES,2017-02-15,YES,2016-05-23
DK,Denmark,38110721,NO,1900-01-01,NO,1900-01-01,YES,2017-06-03
SE,Sweden,72090937,YES,2016-07-25,YES,2016-12-26,YES,2017-06-30
IT,Italy,16191284,NO,1900-01-01,YES,2016-07-23,NO,1900-01-01
ES,Spain,38525737,YES,2016-08-24,NO,1900-01-01,NO,1900-01-01
ZA,South Africa,91690763,YES,2017-01-28,NO,1900-01-01,NO,1900-01-01
TN,Tunisia,23567037,NO,1900-01-01,YES,2016-07-21,NO,1900-01-01
AT,Austria,99161904,NO,1900-01-01,NO,1900-01-01,YES,2016-09-28
FR,France,22472637,YES,2017-03-28,NO,1900-01-01,NO,1900-01-01
NL,Netherlands,81862129,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
GB,United Kingdom,4445669,NO,1900-01-01,NO,1900-01-01,YES,2017-04-20
IS,Iceland,44796776,YES,2016-03-26,YES,2016-03-07,YES,2016-05-29
GB,United Kingdom,91697067,NO,1900-01-01,YES,2017-04-16,NO,1900-01-01
DK,Denmark,40522950,YES,2017-05-11,NO,1900-01-01,YES,2016-04-09
DK,Denmark,77969318,NO,1900-01-01,YES,2017-06-01,NO,1900-01-01
SI,Slovenia,71662768,YES,2016-10-13,YES,2016-06-19,NO,1900-01-01
CY,Cyprus (Greek),22343996,NO,1900-01-01,NO,1900-01-01,YES,2016-08-01
HU,Hungary,56895588,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
NZ,New Zealand,64297165,YES,2016-06-11,NO,1900-01-01,YES,2016-05-27
